sat_id,x,y,z,Vx,Vy,Vz
0,2,2,2,2,2,2
1,1,3,3,3,1,2
2,1,3,2,2,1,1
3,1,1,1,3,1,3
4,2,1,2,1,2,2
5,3,1,1,1,3,1
6,1,1,1,1,3,1
7,2,5,2,5,5,5
8,1,3,3,1,1,1
9,3,3,3,1,3,3
10,1,1,2,1,3,3
11,1,1,1,1,1,1
12,3,2,2,5,5,1
13,1,1,1,3,1,1
14,3,3,3,3,3,3
15,2,1,1,1,2,1
16,3,1,1,3,3,1
17,2,1,2,2,2,1
18,2,2,1,2,1,1
19,2,2,2,2,2,2
20,5,2,2,2,2,2
21,2,2,2,2,2,1
22,1,3,1,2,1,2
23,2,3,2,1,2,1
24,1,3,3,3,3,3
25,2,2,2,2,2,2
26,1,1,2,2,2,2
27,3,3,3,1,3,2
28,1,2,3,2,5,2
29,3,3,3,3,3,3
30,1,2,1,2,2,1
31,1,3,2,2,2,2
32,1,3,3,1,1,1
33,3,1,1,1,1,3
34,3,3,3,3,3,3
35,1,1,2,1,1,1
36,2,1,1,1,1,1
37,3,3,3,5,1,1
38,2,1,1,2,2,2
39,3,3,3,3,3,3
40,1,1,1,1,1,1
41,2,3,2,5,1,2
42,3,3,3,1,3,3
43,3,1,1,3,3,3
44,1,3,1,1,1,2
45,2,2,2,2,1,1
46,1,1,1,3,3,1
47,3,3,3,1,1,3
48,2,1,3,3,1,3
49,3,3,3,3,1,1
50,1,3,3,3,1,3
51,1,3,1,3,3,3
52,3,1,3,2,3,1
53,1,1,3,3,1,1
54,1,2,1,2,1,3
55,3,2,3,3,3,3
56,3,1,1,1,3,1
57,3,3,3,3,3,3
58,3,1,3,3,3,1
59,1,1,1,2,1,2
60,3,3,3,3,3,3
61,3,1,3,3,3,3
62,2,2,1,3,1,2
63,1,1,2,2,2,1
64,3,3,3,1,3,3
65,2,3,1,1,1,2
66,2,2,2,2,1,2
67,2,1,1,2,1,1
68,1,3,1,1,1,1
69,3,3,3,2,1,3
70,3,3,3,1,3,3
71,1,2,2,2,5,1
72,3,3,1,1,1,1
73,2,1,1,2,1,2
74,3,1,3,1,1,3
75,3,3,3,1,1,1
76,1,2,3,3,3,3
77,1,1,1,3,3,3
78,1,1,1,1,1,1
79,1,1,1,1,1,3
80,1,1,3,2,2,2
81,1,3,3,1,2,1
82,1,3,1,2,1,1
83,1,3,1,3,1,1
84,1,3,2,3,5,1
85,5,1,2,2,5,5
86,3,2,2,1,2,3
87,1,1,1,1,3,3
88,1,2,2,2,2,1
89,1,3,1,3,3,3
90,2,2,2,2,2,2
91,2,2,2,1,1,1
92,2,1,3,5,2,2
93,3,3,3,3,3,3
94,2,2,1,1,2,2
95,1,3,1,1,1,1
96,1,1,1,1,1,1
97,3,3,1,1,1,3
98,3,2,2,2,1,1
99,3,3,2,3,1,1
100,3,5,3,5,5,2
101,2,2,1,2,1,1
102,3,3,3,3,1,3
103,1,1,1,1,1,1
104,1,3,3,1,3,3
105,1,1,1,1,1,1
106,3,2,3,1,3,2
107,3,3,3,3,1,3
108,1,3,1,3,3,1
109,2,2,1,5,2,2
110,1,1,1,1,1,1
111,3,1,3,3,3,3
112,2,2,2,2,2,1
113,1,3,3,2,2,2
114,3,3,3,2,3,2
115,3,1,2,1,2,5
116,3,1,3,1,1,1
117,1,3,3,3,1,3
118,2,3,2,2,2,1
119,1,3,3,3,3,3
120,1,3,3,3,3,3
121,3,1,3,1,1,1
122,3,3,3,1,1,1
123,1,2,2,2,1,2
124,1,1,2,3,2,2
125,1,1,1,2,2,2
126,2,2,1,2,2,2
127,3,1,3,1,5,5
128,3,2,1,3,1,3
129,2,1,2,3,1,1
130,3,3,3,1,1,3
131,1,1,2,3,2,5
132,1,3,3,1,1,1
133,2,2,1,1,1,2
134,1,2,3,2,1,1
135,1,3,2,1,1,1
136,1,1,3,1,1,1
137,3,3,3,1,1,1
138,1,3,3,1,1,3
139,1,1,1,1,1,1
140,1,2,1,3,3,3
141,3,3,1,1,3,1
142,3,3,3,3,1,2
143,1,1,1,1,1,1
144,1,1,1,1,1,1
145,1,1,1,1,1,1
146,3,3,3,1,1,3
147,1,1,1,1,1,1
148,1,3,1,1,3,1
149,1,2,1,1,1,3
