V1,V2,V3,V4,V5,V6
67272.0120000839,67272.0120000839,67272.0120000839,67272.0120000839,67272.0120000839,67272.0120000839
30524.2750000954,30524.2750000954,30524.2750000954,30524.2750000954,30524.2750000954,30524.2750000954
154550.461999893,154550.461999893,154550.461999893,154859.562923893,154859.562923893,154859.562923893
182503.01046604,181774.45553404,182138.73300004,181592.31680104,182867.28793204,181592.31680104
53275.2049999237,53275.2049999237,53275.2049999237,53275.2049999237,53275.2049999237,53275.2049999237
18191.8019880838,18191.8019880838,18191.8019880838,18191.8019880838,18191.8019880838,18191.8019880838
152895.421014089,152895.421014089,152895.421014089,152433.966021089,152433.966021089,152433.966021089
276408.798000097,276685.206798097,276408.798000097,276132.389202097,276408.798000097,276408.798000097
24913.9561049809,24938.8949999809,24938.8949999809,24913.9561049809,24913.9561049809,24913.9561049809
194796.006002979,194796.006002979,194796.006002979,194796.006002979,194796.006002979,194796.006002979
36450.5350000858,36450.5350000858,36450.5350000858,36450.5350000858,36450.5350000858,36450.5350000858
31655.9046119981,31655.9046119981,31624.4375099981,31655.9046119981,31655.9046119981,31655.9046119981
217316.349116897,217533.882999897,217316.349116897,217316.349116897,217316.349116897,217316.349116897
60938.8510000706,60938.8510000706,60938.8510000706,60938.8510000706,60938.8510000706,60938.8510000706
79689.5189159446,79689.5189159446,79769.0493739445,79450.9275419447,79450.9275419447,79450.9275419447
22007.0609099143,22007.0609099143,22007.0609099143,22007.0609099143,22007.0609099143,22007.0609099143
331051.065000057,330720.013935057,334030.524585058,331051.065000057,331713.167130057,331382.116065057
88697.7349998951,88697.7349998951,88697.7349998951,88697.7349998951,88697.7349998951,88875.1304698949
42183.9700000286,42183.9700000286,42183.9700000286,42183.9700000286,42183.9700000286,42183.9700000286
132910.082999945,132910.082999945,132910.082999945,132910.082999945,132910.082999945,132910.082999945
336982.200914002,336651.177141002,336651.177141002,337313.224687002,336982.200914002,338968.343552002
93161.0624838972,93161.0624838972,93161.0624838972,93161.0624838972,93067.7147258973,93161.0624838972
246284.988759893,246042.582274894,245800.175789894,246042.582274894,246284.988759893,246284.988759893
259142.573690057,258883.690000057,259401.457380057,258883.690000057,260178.108450057,258624.806310057
128963.844000101,128963.844000101,128963.844000101,128963.844000101,128963.844000101,128963.844000101
85790.4110000134,85790.4110000134,85790.4110000134,85790.4110000134,85790.4110000134,85961.9918220134
496688.129925889,496688.129925889,498205.507104889,497699.714711889,498205.507104889,498205.507104889
59717.9792429695,59717.9792429695,59717.9792429695,59717.9792429695,59717.9792429695,59717.9792429695
140424.139264008,140565.695856008,140424.139264008,140424.139264008,140424.139264008,140282.582672008
138042.246999979,138042.246999979,138042.246999979,138042.246999979,138042.246999979,138042.246999979
54859.2568290038,54859.2568290038,54914.1710000038,54859.2568290038,54859.2568290038,54914.1710000038
200639.394834898,200639.394834898,200639.394834898,200639.394834898,200639.394834898,200639.394834898
211546.86500001,211546.86500001,211546.86500001,212181.50559501,212393.05246001,212181.50559501
54600.9869999886,54655.5879869885,54600.9869999886,54600.9869999886,54600.9869999886,54600.9869999886
59768.968259063,59768.968259063,59768.968259063,59828.6775180631,59828.6775180631,59828.6775180631
212763.096013055,212763.096013055,212555.926494055,212970.265532055,212970.265532055,212970.265532055
24389.9836020019,24389.9836020019,24389.9836020019,24389.9836020019,24389.9836020019,24389.9836020019
30025.0476180446,30025.0476180446,30054.5707720447,30054.5707720447,30054.5707720447,30054.5707720447
80545.6419999599,80545.6419999599,80545.6419999599,80545.6419999599,80545.6419999599,80545.6419999599
117773.190999985,117773.190999985,117773.190999985,117773.190999985,117773.190999985,117773.190999985
56096.0759999752,56096.0759999752,56039.9799239752,56096.0759999752,56096.0759999752,56039.9799239752
32864.2130000591,32864.2130000591,32831.3487870591,32864.2130000591,32864.2130000591,32864.2130000591
78666.7624918971,78666.7624918971,78666.7624918971,78666.7624918971,78666.7624918971,78666.7624918971
141864.878999949,141864.878999949,141864.878999949,141864.878999949,141864.878999949,141864.878999949
18251.7835499523,18251.7835499523,18251.7835499523,18251.7835499523,18251.7835499523,18251.7835499523
187840.955015968,187840.955015968,187840.955015968,187652.926031968,187840.955015968,188405.041967967
239370.541496073,238178.457126072,239847.375244073,238416.874000072,238416.874000072,238178.457126072
53281.7189459009,53281.7189459009,53281.7189459009,53335.0539999008,53335.0539999008,53335.0539999008
64253.9089999199,64253.9089999199,64253.9089999199,64253.9089999199,64253.9089999199,64253.9089999199
45669.7625219257,45669.7625219257,45669.7625219257,45715.4779999256,45715.4779999256,45715.4779999256
53806.6834559104,53806.6834559104,53806.6834559104,53752.8229119105,53806.6834559104,53806.6834559104
45169.1570329924,45485.0252639923,45530.1492969923,45078.9089669924,44988.6609009924,44988.6609009924
150699.434388116,150548.129735116,150699.434388116,150699.434388116,150548.129735116,150699.434388116
26204.9189999104,26204.9189999104,26178.7140809104,26204.9189999104,26204.9189999104,26204.9189999104
26178.4391980228,26178.4391980228,26152.2082970228,26178.4391980228,26152.2082970228,26178.4391980228
82652.7039999962,82652.7039999962,82652.7039999962,82652.7039999962,82652.7039999962,82652.7039999962
202627.423739951,202627.423739951,202831.069391951,202831.069391951,201609.195479951,202831.069391951
51830.1710000038,51830.1710000038,51778.3408290038,51882.0011710038,51778.3408290038,51778.3408290038
131334.999362992,131075.187296992,131075.187296992,130555.563164992,130425.657131992,130425.657131992
24918.8420000076,24918.8420000076,24918.8420000076,24918.8420000076,24918.8420000076,24918.8420000076
14982.7452570305,14997.7430000305,15012.7407430305,14982.7452570305,14982.7452570305,14982.7452570305
291064.183461034,291064.183461034,291064.183461034,291355.539000034,291064.183461034,291355.539000034
144469.09229409,144613.70600009,144469.09229409,144469.09229409,144469.09229409,144469.09229409
44664.7279999256,44664.7279999256,44664.7279999256,44664.7279999256,44664.7279999256,44664.7279999256
278920.229570901,278920.229570901,278920.229570901,278920.229570901,278920.229570901,278920.229570901
105719.275000095,105824.994275095,105719.275000095,105719.275000095,105719.275000095,105613.555725095
333639.85746001,332975.23623001,332642.92561501,333307.54684501,335301.41053501,335966.03176501
81865.7790000439,81865.7790000439,81865.7790000439,81865.7790000439,81865.7790000439,81865.7790000439
22387.9746149905,22387.9746149905,22387.9746149905,22387.9746149905,22387.9746149905,22387.9746149905
154406.900406069,154098.703000069,154098.703000069,154098.703000069,154098.703000069,154098.703000069
326921.907737958,323985.483416958,323659.214047958,325290.560892958,325943.099630958,327248.177106958
45735.1279989445,45735.1279989445,45735.1279989445,45735.1279989445,45735.1279989445,45735.1279989445
108344.244552015,108344.244552015,108344.244552015,107804.143632015,107804.143632015,107804.143632015
94769.1174430783,94769.1174430783,94769.1174430783,94769.1174430783,94769.1174430783,94769.1174430783
73724.9092919447,73798.7079999447,73724.9092919447,73724.9092919447,73798.7079999447,73798.7079999447
70734.8463119316,71018.9219999313,71231.9787659311,71089.9409219313,71160.9598439312,71089.9409219313
172355.696801977,172873.800098977,172873.800098977,172701.098999977,172873.800098977,172873.800098977
168121.728684004,167954.276763004,168121.728684004,167619.372921004,167619.372921004,167619.372921004
177306.036263969,177129.084131969,177129.084131969,177306.036263969,177306.036263969,177306.036263969
112876.116352926,112876.116352926,112988.879705925,112763.352999926,112763.352999926,112763.352999926
26717.5807539067,26717.5807539067,26717.5807539067,26717.5807539067,26717.5807539067,26717.5807539067
27777.3078869162,27777.3078869162,27777.3078869162,27777.3078869162,27777.3078869162,27777.3078869162
211674.387000084,211674.387000084,211674.387000084,211674.387000084,211674.387000084,211674.387000084
109560.311154032,109450.089513032,109560.311154032,109780.754436032,110552.305923033,110552.305923033
100269.313999891,100269.313999891,100269.313999891,100269.313999891,100269.313999891,100269.313999891
59529.3849149618,59469.9149999619,59529.3849149618,59529.3849149618,59529.3849149618,59529.3849149618
57570.7200000286,57570.7200000286,57570.7200000286,57513.1492800286,57570.7200000286,57570.7200000286
176632.733550024,176632.733550024,176632.733550024,168726.315953023,168726.315953023,168726.315953023
147731.107014061,147731.107014061,147731.107014061,147731.107014061,147731.107014061,147731.107014061
126723.867852118,126723.867852118,126723.867852118,126470.926000118,126470.926000118,126470.926000118
101130.510258103,101130.510258103,101130.510258103,101231.742000103,101231.742000103,101231.742000103
93747.3697160802,93747.3697160802,93747.3697160802,93653.7160000801,93653.7160000801,93747.3697160802
272443.725452032,272443.725452032,272443.725452032,271897.198420032,271897.198420032,271897.198420032
57165.0899821126,57165.0899821126,57165.0899821126,57165.0899821126,57165.0899821126,57165.0899821126
44829.5480000973,44829.5480000973,44829.5480000973,44829.5480000973,44829.5480000973,44829.5480000973
169289.861586935,168618.742214935,168954.301900935,167947.622842935,167947.622842935,167947.622842935
187771.465363956,184980.016423956,187213.175575956,187027.078979956,187027.078979956,187027.078979956
53398.1247799714,53291.4352199714,53291.4352199714,53291.4352199714,53398.1247799714,53398.1247799714
144782.065000057,144782.065000057,144782.065000057,144782.065000057,144782.065000057,144782.065000057
53062.040843899,53062.040843899,53062.040843899,53062.040843899,53062.040843899,52955.8105318992
142386.390527063,142244.430018063,142244.430018063,142102.469509063,142244.430018063,142102.469509063
112697.12854391,112697.12854391,112697.12854391,112697.12854391,112697.12854391,112697.12854391
93578.1566719313,93484.6719999313,93484.6719999313,93578.1566719313,93484.6719999313,93578.1566719313
106065.688729092,105959.729000092,105959.729000092,105959.729000092,105959.729000092,105959.729000092
106485.544863084,106485.544863084,106911.913411084,106485.544863084,106485.544863084,106272.360589084
157620.075428113,157777.067535113,156364.138572112,156207.146465112,156207.146465112,156207.146465112
264338.731063935,264338.731063935,264338.731063935,264338.731063935,264338.731063935,264603.599531935
195831.476999998,196027.308476998,195831.476999998,196027.308476998,196027.308476998,196027.308476998
39272.9326988816,39272.9326988816,39272.9326988816,39272.9326988816,39272.9326988816,39272.9326988816
100891.089999914,100891.089999914,100790.198909914,100891.089999914,100891.089999914,100790.198909914
202052.514061918,203712.082965918,217818.418649912,207238.666886916,207238.666886916,206823.774660916
43073.2131401148,42772.602480114,43073.2131401148,42858.4912401142,42815.5468601141,42858.4912401142
56327.3580000401,56327.3580000401,56327.3580000401,56327.3580000401,56327.3580000401,56327.3580000401
184786.825438091,184786.825438091,184786.825438091,184786.825438091,184786.825438091,184786.825438091
79817.6647598858,79817.6647598858,79817.6647598858,79817.6647598858,79817.6647598858,79817.6647598858
72394.7116950345,72250.6426170344,72250.6426170344,72250.6426170344,72250.6426170344,72250.6426170344
107001.511872109,106894.723936109,106894.723936109,106894.723936109,106894.723936109,106894.723936109
245446.835091027,246915.111273027,256948.331850028,244712.697000027,244712.697000027,244467.984303027
79504.535109895,79425.1099998951,79425.1099998951,79425.1099998951,79425.1099998951,79504.535109895
79429.5850000381,79429.5850000381,79429.5850000381,79429.5850000381,79429.5850000381,79429.5850000381
261905.315999985,262167.221315985,261643.410683985,262167.221315985,261905.315999985,261905.315999985
51984.7608280687,51880.8951720686,51984.7608280687,51984.7608280687,51984.7608280687,51984.7608280687
102585.038759886,102585.038759886,102585.038759886,102585.038759886,102585.038759886,102585.038759886
42723.8800001144,42723.8800001144,42723.8800001144,42723.8800001144,42723.8800001144,42723.8800001144
32314.3729999065,32314.3729999065,32314.3729999065,32314.3729999065,32314.3729999065,32314.3729999065
61997.4079999924,61997.4079999924,61997.4079999924,61997.4079999924,61997.4079999924,61997.4079999924
111880.848999977,111880.848999977,111880.848999977,111880.848999977,111880.848999977,111880.848999977
29002.6669549203,29002.6669549203,29002.6669549203,29031.8153639202,29031.8153639202,29031.8153639202
214303.186295996,214303.186295996,214088.668591996,214303.186295996,214303.186295996,214303.186295996
145633.409447985,145633.409447985,145633.409447985,145633.409447985,145633.409447985,145633.409447985
97261.9287121067,97164.5694241066,97651.3658641071,97261.9287121067,97261.9287121067,97164.5694241066
130922.260559933,131311.910144933,130922.260559933,130922.260559933,131182.026949933,131052.143754933
125645.450796118,125645.450796118,125645.450796118,126150.051000118,126150.051000118,126150.051000118
100243.963999987,100243.963999987,100243.963999987,100243.963999987,100243.963999987,100243.963999987
84195.2650001049,84195.2650001049,84195.2650001049,84195.2650001049,84195.2650001049,84279.460265105
23195.0237581029,23195.0237581029,23195.0237581029,23195.0237581029,23195.0237581029,23195.0237581029
18403.699877979,18403.699877979,18403.699877979,18403.699877979,18403.699877979,18403.699877979
86968.4854579086,86968.4854579086,86968.4854579086,86968.4854579086,86968.4854579086,86968.4854579086
32875.3404979064,32875.3404979064,32809.6555019066,32875.3404979064,32875.3404979064,32875.3404979064
83791.3946870363,83707.6870000362,83875.1023740363,83707.6870000362,83707.6870000362,83707.6870000362
170255.893104099,170255.893104099,170422.3211521,170255.893104099,170422.3211521,170422.3211521
24029.8017839732,23910.0121439734,24005.8438559732,23981.8859279733,24005.8438559732,23981.8859279733
44657.5087889657,44657.5087889657,44657.5087889657,44657.5087889657,44657.5087889657,44657.5087889657
129998.976029885,129998.976029885,129998.976029885,131312.096999884,131312.096999884,131312.096999884
106253.341518063,106041.259000063,106041.259000063,106041.259000063,106041.259000063,106041.259000063
33863.4055759752,33863.4055759752,33863.4055759752,33863.4055759752,33795.7464239752,33795.7464239752
81722.9426459541,81722.9426459541,81722.9426459541,81722.9426459541,81722.9426459541,81722.9426459541
88218.3033898952,88218.3033898952,88218.3033898952,88218.3033898952,88129.9967798953,88129.9967798953
28294.1799140344,28294.1799140344,28294.1799140344,28294.1799140344,28294.1799140344,28265.9140000343
62406.0724588895,62468.5409998894,62406.0724588895,62406.0724588895,62406.0724588895,62406.0724588895
